Aaron Finch,Aaron Finch,0
Aaron Finch,Ajinkya Rahane,59
Aaron Finch,Ambati Rayudu,71
Aaron Finch,Brendon McCullum,56
Aaron Finch,Chris Gayle,47.5
Aaron Finch,David Miller,49.5
Aaron Finch,David Warner,76
Aaron Finch,de Villiers,54
Aaron Finch,Dinesh Karthik,61
Aaron Finch,du Plessis,48
Aaron Finch,Dwayne Smith,54
Aaron Finch,Gautam Gambhir,52
Aaron Finch,Kieron Pollard,63.5
Aaron Finch,Manish Pandey,60
Aaron Finch,Michael Hussey,51
Aaron Finch,MS Dhoni,63
Aaron Finch,Murali Vijay,60
Aaron Finch,Parthiv Patel,49
Aaron Finch,Robin Uthappa,53.5
Aaron Finch,Rohit Sharma,76
Aaron Finch,Sanju Samson,47
Aaron Finch,Shane Watson,60
Aaron Finch,Shaun Marsh,86
Aaron Finch,Shikhar Dhawan,58
Aaron Finch,Steve Smith,61
Aaron Finch,Suresh Raina,59
Aaron Finch,Virat Kohli,65
Aaron Finch,Yusuf Pathan,85
Aaron Finch,Yuvraj Singh,69
Ajinkya Rahane,Aaron Finch,59
Ajinkya Rahane,Ajinkya Rahane,0
Ajinkya Rahane,Ambati Rayudu,67
Ajinkya Rahane,Brendon McCullum,56
Ajinkya Rahane,Chris Gayle,47.5
Ajinkya Rahane,David Miller,53
Ajinkya Rahane,David Warner,72
Ajinkya Rahane,de Villiers,65
Ajinkya Rahane,Dinesh Karthik,63
Ajinkya Rahane,du Plessis,66
Ajinkya Rahane,Dwayne Smith,59
Ajinkya Rahane,Gautam Gambhir,71.5
Ajinkya Rahane,Kieron Pollard,57
Ajinkya Rahane,Manish Pandey,58
Ajinkya Rahane,Michael Hussey,70
Ajinkya Rahane,MS Dhoni,63
Ajinkya Rahane,Murali Vijay,60
Ajinkya Rahane,Parthiv Patel,61
Ajinkya Rahane,Robin Uthappa,57
Ajinkya Rahane,Rohit Sharma,65
Ajinkya Rahane,Sanju Samson,61
Ajinkya Rahane,Shane Watson,71.5
Ajinkya Rahane,Shaun Marsh,86
Ajinkya Rahane,Shikhar Dhawan,69
Ajinkya Rahane,Steve Smith,61
Ajinkya Rahane,Suresh Raina,57
Ajinkya Rahane,Virat Kohli,65
Ajinkya Rahane,Yusuf Pathan,81
Ajinkya Rahane,Yuvraj Singh,63
Ambati Rayudu,Aaron Finch,71
Ambati Rayudu,Ajinkya Rahane,67
Ambati Rayudu,Ambati Rayudu,0
Ambati Rayudu,Brendon McCullum,68
Ambati Rayudu,Chris Gayle,71
Ambati Rayudu,David Miller,67
Ambati Rayudu,David Warner,70
Ambati Rayudu,de Villiers,79
Ambati Rayudu,Dinesh Karthik,81
Ambati Rayudu,du Plessis,77
Ambati Rayudu,Dwayne Smith,55
Ambati Rayudu,Gautam Gambhir,67
Ambati Rayudu,Kieron Pollard,79
Ambati Rayudu,Manish Pandey,71
Ambati Rayudu,Michael Hussey,83
Ambati Rayudu,MS Dhoni,71
Ambati Rayudu,Murali Vijay,81
Ambati Rayudu,Parthiv Patel,67
Ambati Rayudu,Robin Uthappa,80
Ambati Rayudu,Rohit Sharma,55
Ambati Rayudu,Sanju Samson,59
Ambati Rayudu,Shane Watson,70
Ambati Rayudu,Shaun Marsh,81.5
Ambati Rayudu,Shikhar Dhawan,70
Ambati Rayudu,Steve Smith,67
Ambati Rayudu,Suresh Raina,75
Ambati Rayudu,Virat Kohli,76
Ambati Rayudu,Yusuf Pathan,82
Ambati Rayudu,Yuvraj Singh,81
Brendon McCullum,Aaron Finch,56
Brendon McCullum,Ajinkya Rahane,56
Brendon McCullum,Ambati Rayudu,68
Brendon McCullum,Brendon McCullum,0
Brendon McCullum,Chris Gayle,52
Brendon McCullum,David Miller,46
Brendon McCullum,David Warner,54
Brendon McCullum,de Villiers,50
Brendon McCullum,Dinesh Karthik,40
Brendon McCullum,du Plessis,57.5
Brendon McCullum,Dwayne Smith,54
Brendon McCullum,Gautam Gambhir,54.5
Brendon McCullum,Kieron Pollard,53.5
Brendon McCullum,Manish Pandey,48
Brendon McCullum,Michael Hussey,48
Brendon McCullum,MS Dhoni,50
Brendon McCullum,Murali Vijay,48
Brendon McCullum,Parthiv Patel,61
Brendon McCullum,Robin Uthappa,61
Brendon McCullum,Rohit Sharma,76
Brendon McCullum,Sanju Samson,45
Brendon McCullum,Shane Watson,55
Brendon McCullum,Shaun Marsh,57
Brendon McCullum,Shikhar Dhawan,59
Brendon McCullum,Steve Smith,51
Brendon McCullum,Suresh Raina,62
Brendon McCullum,Virat Kohli,48
Brendon McCullum,Yusuf Pathan,56
Brendon McCullum,Yuvraj Singh,50
Chris Gayle,Aaron Finch,47.5
Chris Gayle,Ajinkya Rahane,47.5
Chris Gayle,Ambati Rayudu,71
Chris Gayle,Brendon McCullum,52
Chris Gayle,Chris Gayle,0
Chris Gayle,David Miller,47.5
Chris Gayle,David Warner,46
Chris Gayle,de Villiers,46
Chris Gayle,Dinesh Karthik,48
Chris Gayle,du Plessis,62
Chris Gayle,Dwayne Smith,58
Chris Gayle,Gautam Gambhir,46
Chris Gayle,Kieron Pollard,38
Chris Gayle,Manish Pandey,49.5
Chris Gayle,Michael Hussey,44
Chris Gayle,MS Dhoni,42
Chris Gayle,Murali Vijay,40.5
Chris Gayle,Parthiv Patel,56
Chris Gayle,Robin Uthappa,50
Chris Gayle,Rohit Sharma,67
Chris Gayle,Sanju Samson,47.5
Chris Gayle,Shane Watson,56
Chris Gayle,Shaun Marsh,64
Chris Gayle,Shikhar Dhawan,64
Chris Gayle,Steve Smith,53
Chris Gayle,Suresh Raina,55
Chris Gayle,Virat Kohli,38.5
Chris Gayle,Yusuf Pathan,63
Chris Gayle,Yuvraj Singh,42
David Miller,Aaron Finch,49.5
David Miller,Ajinkya Rahane,53
David Miller,Ambati Rayudu,67
David Miller,Brendon McCullum,46
David Miller,Chris Gayle,47.5
David Miller,David Miller,0
David Miller,David Warner,47
David Miller,de Villiers,52
David Miller,Dinesh Karthik,52
David Miller,du Plessis,53
David Miller,Dwayne Smith,50
David Miller,Gautam Gambhir,45.5
David Miller,Kieron Pollard,47
David Miller,Manish Pandey,48
David Miller,Michael Hussey,46
David Miller,MS Dhoni,44
David Miller,Murali Vijay,45
David Miller,Parthiv Patel,54
David Miller,Robin Uthappa,56
David Miller,Rohit Sharma,72
David Miller,Sanju Samson,46
David Miller,Shane Watson,51
David Miller,Shaun Marsh,60
David Miller,Shikhar Dhawan,54
David Miller,Steve Smith,46
David Miller,Suresh Raina,55.5
David Miller,Virat Kohli,46
David Miller,Yusuf Pathan,56
David Miller,Yuvraj Singh,46
David Warner,Aaron Finch,76
David Warner,Ajinkya Rahane,72
David Warner,Ambati Rayudu,70
David Warner,Brendon McCullum,54
David Warner,Chris Gayle,46
David Warner,David Miller,47
David Warner,David Warner,0
David Warner,de Villiers,77
David Warner,Dinesh Karthik,52
David Warner,du Plessis,77
David Warner,Dwayne Smith,52
David Warner,Gautam Gambhir,56
David Warner,Kieron Pollard,48
David Warner,Manish Pandey,60
David Warner,Michael Hussey,45
David Warner,MS Dhoni,37
David Warner,Murali Vijay,48
David Warner,Parthiv Patel,77
David Warner,Robin Uthappa,77
David Warner,Rohit Sharma,60
David Warner,Sanju Samson,55
David Warner,Shane Watson,42
David Warner,Shaun Marsh,49
David Warner,Shikhar Dhawan,63
David Warner,Steve Smith,41
David Warner,Suresh Raina,47
David Warner,Virat Kohli,44
David Warner,Yusuf Pathan,60
David Warner,Yuvraj Singh,55
de Villiers,Aaron Finch,54
de Villiers,Ajinkya Rahane,65
de Villiers,Ambati Rayudu,79
de Villiers,Brendon McCullum,50
de Villiers,Chris Gayle,46
de Villiers,David Miller,52
de Villiers,David Warner,77
de Villiers,de Villiers,0
de Villiers,Dinesh Karthik,64
de Villiers,du Plessis,55
de Villiers,Dwayne Smith,54
de Villiers,Gautam Gambhir,52
de Villiers,Kieron Pollard,55
de Villiers,Manish Pandey,49.5
de Villiers,Michael Hussey,47
de Villiers,MS Dhoni,63
de Villiers,Murali Vijay,64
de Villiers,Parthiv Patel,60
de Villiers,Robin Uthappa,48
de Villiers,Rohit Sharma,62
de Villiers,Sanju Samson,54
de Villiers,Shane Watson,60
de Villiers,Shaun Marsh,86
de Villiers,Shikhar Dhawan,58
de Villiers,Steve Smith,85
de Villiers,Suresh Raina,57
de Villiers,Virat Kohli,65
de Villiers,Yusuf Pathan,95
de Villiers,Yuvraj Singh,55
Dinesh Karthik,Aaron Finch,61
Dinesh Karthik,Ajinkya Rahane,63
Dinesh Karthik,Ambati Rayudu,81
Dinesh Karthik,Brendon McCullum,40
Dinesh Karthik,Chris Gayle,48
Dinesh Karthik,David Miller,52
Dinesh Karthik,David Warner,52
Dinesh Karthik,de Villiers,64
Dinesh Karthik,Dinesh Karthik,0
Dinesh Karthik,du Plessis,66
Dinesh Karthik,Dwayne Smith,59
Dinesh Karthik,Gautam Gambhir,55.5
Dinesh Karthik,Kieron Pollard,44
Dinesh Karthik,Manish Pandey,52
Dinesh Karthik,Michael Hussey,43.5
Dinesh Karthik,MS Dhoni,48
Dinesh Karthik,Murali Vijay,55
Dinesh Karthik,Parthiv Patel,66
Dinesh Karthik,Robin Uthappa,66
Dinesh Karthik,Rohit Sharma,68
Dinesh Karthik,Sanju Samson,55.5
Dinesh Karthik,Shane Watson,59.5
Dinesh Karthik,Shaun Marsh,58
Dinesh Karthik,Shikhar Dhawan,55
Dinesh Karthik,Steve Smith,56
Dinesh Karthik,Suresh Raina,55.5
Dinesh Karthik,Virat Kohli,44
Dinesh Karthik,Yusuf Pathan,45
Dinesh Karthik,Yuvraj Singh,47
